transaction_hash,block_number,builder_reward,ethusd_price,from_address,to_address,TX Category,Unified TX Categories,Complex?,Execution,Execution Protocol,Token,Block POS,MEV?,Relay,EigenTX
0x4be44a26a0a0f6dd6d83373bfbd023e385b2b5d5ec4b14ea3bf852d299760dde,19521139,6.13218046,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  COSMIC,0,N,"Aestus, Agnostic, BloXroute Max Profit, Flashbots, Ultrasound",https://eigenphi.io/mev/eigentx/0x4be44a26a0a0f6dd6d83373bfbd023e385b2b5d5ec4b14ea3bf852d299760dde
0x3d8fe7ce0c556778ede44e24a565cdf85eb029f02c910edf9ed9cc68a782ac68,19420950,5.10157837,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  ZION,0,N,"Agnostic, BloXroute Max Profit, BloXroute Regulated, Flashbots, Ultrasound",https://eigenphi.io/mev/eigentx/0x3d8fe7ce0c556778ede44e24a565cdf85eb029f02c910edf9ed9cc68a782ac68
0xf223b7e38191dc2b0bc17f992e543c38ee31425a5f751c2db03840f8b65b3fb4,19371818,3.800331155,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  ERROR,0,N,BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay),https://eigenphi.io/mev/eigentx/0xf223b7e38191dc2b0bc17f992e543c38ee31425a5f751c2db03840f8b65b3fb4
0x98c4d65771d07659fce6ad8f7a7f76145f4010416f31794d9767a2b19e412f0e,19555214,3.11638043,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  MWAVE,0,N,Flashbots (Relay),https://eigenphi.io/mev/eigentx/0x98c4d65771d07659fce6ad8f7a7f76145f4010416f31794d9767a2b19e412f0e
0xf77140dd5f1829b9a12b2794bf4dc9a3de07a5c86231d29e40fee613dd15abb2,19413074,2.408768592,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  0xN,0,N,Aestus (Relay)  BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0xf77140dd5f1829b9a12b2794bf4dc9a3de07a5c86231d29e40fee613dd15abb2
0x53a34575b1bd9d2cdf407d8e67e80c3956a87728111113151a23d46007ae6c76,19527797,2.17285206,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  CNAI,0,N,Agnostic (Relay)  BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0x53a34575b1bd9d2cdf407d8e67e80c3956a87728111113151a23d46007ae6c76
0xc01fede8975f163f0c6333091addb77d451b83d4a7dd82cc4588cbfe2df42219,19536069,2.031596415,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  POS,0,N,Flashbots (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0xc01fede8975f163f0c6333091addb77d451b83d4a7dd82cc4588cbfe2df42219
0xd17f946deeadc201fe4b1da3446f4205a0e4acfee8e610a89120680f04640250,19421997,1.812460285,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  NEXUS,0,N,Aestus (Relay)  BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay),https://eigenphi.io/mev/eigentx/0xd17f946deeadc201fe4b1da3446f4205a0e4acfee8e610a89120680f04640250
0xebcc15b671296f96e94cccde57d0aaa023e8321724ef6cc0fa0d1cc6d5e138b2,19376644,1.14707944,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  FGPU,0,N,BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay),https://eigenphi.io/mev/eigentx/0xebcc15b671296f96e94cccde57d0aaa023e8321724ef6cc0fa0d1cc6d5e138b2
0xedcd2216e37a56f714d14ef5581db871850257862992127e50f5a101c9b8fccb,19429120,0.91804586,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  WCT,0,N,Flashbots (Relay),https://eigenphi.io/mev/eigentx/0xedcd2216e37a56f714d14ef5581db871850257862992127e50f5a101c9b8fccb
